db_id	name	original_type	canonical_type	changed
452	Yosef Vaynshtok Troupe	Traveling Company	Traveling Company	
453	Yosef Veynshtok and Leon Berger Troupe	Traveling Company	Traveling Company	
454	Yung-yidish			
455	Zandberg Troupe			
456	Zaslavsky Troupe	Traveling Company	Traveling Company	
457	Zayderman Troupe	Traveling Company	Traveling Company	
458	Zhitomirski Troupe	Traveling Company	Traveling Company	
459	Ziegler Troupe			
460	Zuntog-blat			
461	דער יודישער העראלד - The Jewish herald			
462	⁨⁨Der Fraynd⁩ - ⁨דער פֿרײַנד⁩⁩			
463	⁨⁨Di ṿahrhayṭ⁩ - ⁨דיא ווארהייט			
464	Judisches Theater			
465	בלאָך פּאָבלישינג קאָמפּאַני	publisher	Publisher	yes
466	יידישער שפּיגל	theatre	Theatre	yes
467	בלויען פויגל	troupe	Traveling Company	yes
468	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	troupe	Traveling Company	yes
469	ראַפּעלס טרופּע	troupe	Traveling Company	yes
470	שוואַרצבאַרדס טרופּע	troupe	Traveling Company	yes
471	יידישן מלוכה-טעאַטער אין באָקו	theatre	Theatre	yes
472	אָדעסער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
473	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	theatre	Theatre	yes
474	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	theatre	Theatre	yes
475	גאָרטן-טעאַטער „אַלהאַמבראַ“	theatre	Theatre	yes
476	בוף	theatre	Theatre	yes
477	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ	troupe	Traveling Company	yes
478	כאַרקאָווער יידישן מלוכה-טעאַטער	Theatre	Theatre	
479	אָרטיקער פילהאַרמאָניע	Theatre	Theatre	
480	יידיש אַרבעטער-טעאַטער (באָקו)	Theatre	Theatre	
481	וואַרשעווער יודישען קאָלענדאַר	Publisher	Publisher	
482	יודישער האַנדעלס קאַלענדאָר	Publisher	Publisher	
483	טרופּע פֿון ווייספעלד	Troupe	Traveling Company	yes
484	אינסטיטוט א'נ פֿון אָסטראָווסקי	School	Education	yes
485	קאָמפּאַנעעצס טרופּע	Troupe	Traveling Company	yes
486	טרופּע פֿון גוזיק	Troupe	Traveling Company	yes
487	ירושלימער אוניווערזיטעט	School	Education	yes
488	אַראַראַט	Theatre	Theatre	
489	בורג-טעאַטער	Theatre	Theatre	
490	טרופּע ציפקוס	Troupe	Traveling Company	yes
491	טעאַטער „קאָמעדיאָ“	Theatre	Theatre	
492	יידל גאָלדפאַדנס טרופּע	Troupe	Traveling Company	yes
493	סאַן פּאָולאַ יידישער געזעלשאַפט	Organization	Society/ Union	yes
494	ווינער דייטשן פאָלקס-טעאַטער	Theatre	Theatre	
495	דרוקעריי פון ראָם	Publisher	Publisher	
496	אַקטיאָרן-פאַריין (בוענאָס איירעס)			
497	באַלאַגעניידען	Theatre	Theatre	
498	הכל הבל	Theatre	Theatre	
499	יידישן מלוכה-טעאַטער אין יאָס	Theatre	Theatre	
500	ריגער יידישן מלוכה-טעאַטער	Theatre	Theatre	
501	מינסקער יידישן מלוכה-טעאַטער	Theatre	Theatre	
502	בוקאַרעשטער יידישן מלוכה-טעאַטער	Theatre	Theatre	
503	צאָלמאַן	Troupe	Traveling Company	yes
504	העבראיקאַ	Theatre	Theatre	
505	יאָסער יידישן מלוכה-טעאַטער	Theatre	Theatre	
