a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_103_tr_1740521102	facs_141_tr_1754377601	different	db_contradiction	1337	2133	בלאַשטיין, הירש	קאָמפּאַנעיעץ, מאַקס [מרדכי, מאָטעק]
facs_103_tr_1740521102	facs_161_tr_1744279088	different	db_contradiction	1337	2323	בלאַשטיין, הירש	ליפּסאָן, מ. [מרדכי יאַוואָראָווסקי]
facs_103_tr_1740521102	facs_189_tr_1736589041	different	db_contradiction	1337	2820	בלאַשטיין, הירש	שאַדאָווסקי, מאַקס (מרדכי)
facs_103_tr_1740521102	facs_207_tr_1754998369	different	db_contradiction	1337	3816	בלאַשטיין, הירש	שילדקרויט, רודאָלף [חיים-מרדכי]
facs_103_tr_1740521102	facs_21_tr_1747746221	different	db_contradiction	1337	1608	בלאַשטיין, הירש	אייזענשטאַט, מרדכי
facs_103_tr_1740521102	facs_284_tr_1744280792	different	db_contradiction	1337	865	בלאַשטיין, הירש	מעלצער, אַדאָלף
facs_103_tr_1740521102	facs_31_tr_1744131345	different	db_contradiction	1337	3073	בלאַשטיין, הירש	טאָמאַשעווסקי, מייק (מרדכי)
facs_103_tr_1740521102	facs_345_r	different	db_contradiction	1337	1518	בלאַשטיין, הירש	דראַנאָוו, מ. [מרדכי דוד ראָזענבלאַט]
facs_103_tr_1740521102	facs_365_tr_1744366833	different	db_contradiction	1337	2893	בלאַשטיין, הירש	סעיגער מעקס (מרדכי)
facs_103_tr_1740521102	facs_36_tr_1740520946	different	db_contradiction	1337	1202	בלאַשטיין, הירש	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]
facs_103_tr_1740521102	facs_402_r_2	different	db_contradiction	1337	1733	בלאַשטיין, הירש	געבירטיג, מרדכי [בערטיג]
facs_103_tr_1740521102	facs_418_tr_1739222210	different	db_contradiction	1337	3454	בלאַשטיין, הירש	פראַנקענטאַל, מ. (מרדכי נח]
facs_103_tr_1740521102	facs_423_tr_1739222033	different	db_contradiction	1337	2424	בלאַשטיין, הירש	מאז'ה, (מאַזאָ) מרדכי
facs_103_tr_1740521102	facs_446_tr_1755029998	different	db_contradiction	1337	3303	בלאַשטיין, הירש	ירדני, מרדכי [מאָטל שערמאַן]
facs_103_tr_1740521102	facs_632_tr_1755030238	different	db_contradiction	1337	2868	בלאַשטיין, הירש	שווייד, מאַרק [וואָלף-מרדכי]
facs_103_tr_1740521102	facs_64_tr_1747746195	different	db_contradiction	1337	2273	בלאַשטיין, הירש	לייב אַ [אַברהם-מרדכי]
facs_103_tr_1740521102	facs_73_tr_1747746199	different	db_contradiction	1337	3786	בלאַשטיין, הירש	ריבאַלסקי, מרדכי
facs_103_tr_1740521102	facs_74_tr_1757228890	different	db_contradiction	1337	1097	בלאַשטיין, הירש	אַבּעלמאַן, מרדכי
facs_103_tr_1740521107	facs_102_r_1	different	db_contradiction	1334	2903	בלאק מילדרעד [סאָפיאַ]	שאַראַוונער, סאָניאַ
facs_103_tr_1740521107	facs_57_tr_1740521103	different	db_contradiction	1334	1168	בלאק מילדרעד [סאָפיאַ]	אַפּטייקער סאָפיאַ [שרה פֿריינד]
facs_103_tr_1740521107	facs_96_tr_1740521114	different	db_contradiction	1334	1288	בלאק מילדרעד [סאָפיאַ]	ביי סאָפיאַ
facs_103_tr_1740521114	facs_104_tr_1740521041	different	db_contradiction	1339	1341	בלום אַברהם	בלום הענרי [היינריך]
facs_103_tr_1740521114	facs_104_tr_1740521049	different	db_contradiction	1339	1343	בלום אַברהם	בלום, סאמועל [שמואַל]
facs_103_tr_1740521114	facs_105_tr_1740521098	different	db_contradiction	1339	1342	בלום אַברהם	בלום סעם [אַלעקסאַנדער]
facs_103_tr_1740521114	facs_112_tr_1740521163	different	db_contradiction	1339	1246	בלום אַברהם	בעל, אַדאָלף [אַברהם ביעלאָצערקאָווסקי]
facs_103_tr_1740521114	facs_116_tr_1733832781	different	db_contradiction	1339	3028	בלום אַברהם	סטאָבער אַברהם
facs_103_tr_1740521114	facs_135_r_2	different	db_contradiction	1339	1378	בלום אַברהם	בראַלמאַן, אַברהם הערש [?]
facs_103_tr_1740521114	facs_141_tr_1740521090	different	db_contradiction	1339	1384	בלום אַברהם	ברען אַברהם
facs_103_tr_1740521114	facs_142_tr_1740521055	different	db_contradiction	1339	1880	בלום אַברהם	גאָטלאָבער, אַברהם-בער
facs_103_tr_1740521114	facs_147_tr_1733832799	different	db_contradiction	1339	3552	בלום אַברהם	קורץ, אַברהם
facs_103_tr_1740521114	facs_154_tr_1714741532	different	db_contradiction	1339	804	בלום אַברהם	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]
facs_103_tr_1740521114	facs_154_tr_1735652626	different	db_contradiction	1339	3519	בלום אַברהם	זיינפעלד, אברהם
facs_103_tr_1740521114	facs_164_tr_1735652626	different	db_contradiction	1339	3564	בלום אַברהם	שטאָקפעדער, אַברהם [משה]
facs_103_tr_1740521114	facs_173_tr_1747825113	different	db_contradiction	1339	1102	בלום אַברהם	אַבראַמאָוו, א. [אַברהם קאַגאָן]
facs_103_tr_1740521114	facs_185_tr_1747825159	different	db_contradiction	1339	1552	בלום אַברהם	אייסען אַברהם, דר.
facs_103_tr_1740521114	facs_189_tr_1736589045	different	db_contradiction	1339	1352	בלום אַברהם	באָנטשע [אַברהם ראָזענפעלד]
facs_103_tr_1740521114	facs_20_tr_1740515223	different	db_contradiction	1339	1112	בלום אַברהם	אַבראַמסקי, ג.
facs_103_tr_1740521114	facs_210_tr_1747928994	different	db_contradiction	1339	3613	בלום אַברהם	קאַמינסקי, אַברהם יצחק
facs_103_tr_1740521114	facs_237_tr_1747928923	different	db_contradiction	1339	3593	בלום אַברהם	פישקינד, אַברהם
facs_103_tr_1740521114	facs_254_tr_1744280774	different	db_contradiction	1339	2465	בלום אַברהם	מידע, אַדאָלף (אַברהם)
facs_103_tr_1740521114	facs_270_TextRegion_1711971070302_285	different	db_contradiction	1339	1907	בלום אַברהם	גראָדנער, א. [אַברהם יעקב חאַש-אַבראַמאָוו]
facs_103_tr_1740521114	facs_270_tr_1754998435	different	db_contradiction	1339	710	בלום אַברהם	שעהנגאָלד אבא [אַלבערט]
