attestation_id,source_corpus,source_record_id,org_db_id,source_field,context,source_value,source_value_script,link_status,qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,maaty_qid,maaty_qid_conflict,rejected_qid,relink_source,suggested_qid,suggested_english,is_descriptor,review_flags,link_method
P-1-facs_363_r_6#place#1,person,1-facs_363_r_6,,place,burial,לעמבערג,hebrew,linked,Q36036,Lviv,לעמבערג,"city in Ukraine, Magdeburg rights",settlement,166,Lʹviv (Ukraine),לבוב (אוקראינה),49.842500,24.032222,,,,,,,,,
P-1-facs_395_r_6#place#1,person,1-facs_395_r_6,,place,burial,קאָנסטאַנטינאָפּאָל,hebrew,linked,Q406,Istanbul,סטאמבול,"metropolitan municipality in Turkey, former capital, megacity, largest city, port city, big city, ancient city",settlement,533,Istanbul (Turkey),איסטנבול (תורכיה),41.010000,28.960278,,,,,,,,,
P-1-facs_407_tr_1739715069#place#1,person,1-facs_407_tr_1739715069,,place,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_19_r_6#place#1,person,1-facs_19_r_6,,place,burial,וואַשינגטאָן בית-עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_21_tr_1740515222#place#1,person,1-facs_21_tr_1740515222,,place,burial,הר-חברון בית עולם,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-1-facs_21_tr_1740515222#settlement#1,person,1-facs_21_tr_1740515222,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_23_r#place#1,person,1-facs_23_r,,place,burial,הר-הכרמל,hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_23_r#settlement#1,person,1-facs_23_r,,settlement,burial,ניו-יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_31_r#place#1,person,1-facs_31_r,,place,burial,ווין,hebrew,linked,Q1741,Vienna,וויען,"federal capital, statutory city of Austria, federal state of Austria, metropolis, enclave, city-state, municipality of Austria, largest city, district of Austria, place with town rights and privileges",neighborhood,945,Vienna (Austria),וינה (אוסטריה),48.208333,16.372500,,,,,,,,,
P-1-facs_40_tr_1740521035#place#1,person,1-facs_40_tr_1740521035,,place,burial,הר-חברון,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-1-facs_43_tr_1740520992#place#1,person,1-facs_43_tr_1740520992,,place,burial,לאָדזש,hebrew,linked,Q580,Łódź,לאדזש,"big city, city with powiat rights in Poland, city",settlement,179,Łódź (Poland),לודז' (פולין),51.750000,19.466667,,,,,,,,,
P-1-facs_52_tr_1740521031#place#1,person,1-facs_52_tr_1740521031,,place,burial,וואַרשע,hebrew,linked,Q270,Warsaw,ווארשע,"city with powiat rights in Poland, city, seat of government, big city, tourist destination, largest city, administrative territorial entity, metropolis, national capital",settlement,953,Warsaw (Poland),ורשה (פולין),52.230000,21.011111,,,,,,,,,
P-1-facs_57_tr_1740521103#settlement#1,person,1-facs_57_tr_1740521103,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_62_tr_1740520958#place#1,person,1-facs_62_tr_1740520958,,place,burial,"בית עולם פון ""אַרבעטער-רינג""",hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_62_tr_1740520958#province#1,person,1-facs_62_tr_1740520958,,province,burial,ניו יאָרק,hebrew,needs_review,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,province_role_mismatch,
P-1-facs_78_tr_1740521048#place#1,person,1-facs_78_tr_1740521048,,place,burial,ניו-יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_79_tr_1740520939#place#1,person,1-facs_79_tr_1740520939,,place,burial,הר-הכרמל בית עולם,hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
