qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q184,Belarus,בעלארוס,"sovereign state, unitary state, social state, country, landlocked country, republic",country,17986,Belarus,בלארוס,,,139,123,16,0,countries;country;province;venues,3,ווייס-רוסלאַנד;ווייסרוּסלאַנד;ווייסרוסלאַנד,org;person,wikidata;kima
Q18419,Brooklyn,ברוקלין,"borough of New York City, city in the United States, consolidated city-county",settlement,529,"Brooklyn (New York, N.Y.)","ברוקלין (ניו יורק, נ.י.)",40.650833,-73.949722,43,7,36,0,place;province;settlements;venues,2,ברוקלין;ברוקלינער,org;person,wikidata;kima
Q18424,"Queens (New York, N.Y.)",,,settlement,10616,"Queens (New York, N.Y.)","קווינס (ניו יורק, ניו יורק)",40.704166666667,-73.917777777778,1,0,1,0,settlements,1,קווינס,org,wikidata;kima
Q18426,Bronx,,,,,,,,,7,0,7,0,settlements,3,בראַנקס;בראַנקסער;בראָנקס,org,wikidata
Q18432,Staten Island,,,settlement,,,,,,1,1,0,0,province,1,סטעטן איילאַנד,person,wikidata
Q185018,Franz Josef Land,,archipelago,other,1400,Franz Josef Land (Russia),ארץ פרנץ יוזף (רוסיה),,,3,3,0,3,place,1,טוקום,person,wikidata;kima
Q185072,Courland,,historical region,province,,,,,,1,1,0,0,province,1,קורלאַנד,person,wikidata
Q185146,plasma display,,,other,,,,,,1,1,0,1,place,1,אינשעסט,person,wikidata
Q185318,"Karmel, Mount (Israel)",,,settlement,1156,"Karmel, Mount (Israel)",הר הכרמל (ישראל),32.6725,35.023333,1,0,1,0,venues,1,הר הכרמל,org,wikidata;kima
Q18537031,Burdujeni,,Q123705,settlement,,,,,,1,1,0,0,place,1,בורדוזשען,person,wikidata
Q18554,protection racket,,,other,,,,,,2,2,0,2,place,2,קאָנסטאַנצאַ;קאָנסטאָנצאַ,person,wikidata
Q18642589,Łowicz Ghetto,,Q2583015,settlement,,,,,,3,3,0,0,place,1,לאָוויטש,person,wikidata
Q1874,Odesa,אדעס,"port city, big city, city in Ukraine, metropolis",settlement,740,Odesa (Ukraine),אודסה (אוקראינה),46.477470,30.732620,337,129,208,2,place;settlements;venues,7,אָדעם;אָדעס;אָדעס [?];אָדעססא;אָדעססאַ;אָדעסע;אָדעסער,org;person,wikidata;kima
Q1879003,Lysianka,,urban-type settlement in Ukraine,other,20251,Lysi︠a︡nka (Ukraine),ליסיאנקה (אוקראינה),,,1,1,0,1,place,1,ליסינקע,person,wikidata;kima
Q187945,Piatra Neamț,,"municipality of Romania, capital of county in Romania",settlement,9128,Piatra Neamt (Romania),פיטרה נימץ (רומניה),,,2,2,0,0,place,2,פּיאַטראנעאַמץ;פּיאטראנאץ,person,wikidata;kima
Q1882,berkelium,,"chemical element, synthetic element",other,,,,,,2,2,0,2,place,1,לוואָווער געטאָ,person,wikidata
Q1882547,Ciechanowice,,village of Poland,settlement,,,,,,1,1,0,0,place,1,טשעכאַנאָוויצע,person,wikidata
Q188336,Tsefat (Israel),,,settlement,377,Tsefat (Israel),צפת (ישראל),32.965833333,35.498333333,1,0,1,0,settlements,1,צפת,org,wikidata;kima
Q188478,Brăila,,"municipality of Romania, capital of county in Romania, big city, port city",settlement,9693,Brăila (Romania),בראילה (רומניה),,,1,1,0,0,place,1,בראַאילע,person,wikidata;kima
Q189074,Harlem,,,settlement,,,,,,4,0,4,0,settlements,1,האַרלעם,org,wikidata
Q1892074,Simnas,,city,settlement,,,,,,1,1,0,1,place,1,סימני,person,wikidata
Q189399,Zempow,,Ortsteil,other,,,,,,1,1,0,1,place,1,אָקערמאָן,person,wikidata
Q189603,Łomża,,,,,,,,,1,0,1,0,settlements,1,לאָמזשע,org,wikidata
Q1899,Kyiv,קיעוו,"largest city, city or town, tourist destination, city in Ukraine",settlement,958,Kiev (Ukraine),קייב (אוקראינה),50.450000,30.523611,209,46,163,0,place;province;settlements;venues,3,משוגעים-הויז אויף קירילאָווקע;קיעוו;קיעווער,org;person,wikidata;kima
Q1906323,Wolbrom,וואָלבראָם,city,settlement,73134,Wolbrom (Poland),וולברום (פולין),,,1,1,0,0,place,1,וואָלבראָם,person,wikidata;kima
Q191,Estonia,עסטלאנד,"country, sovereign state, unitary state, republic, country bordering the Baltic Sea",country,13665,Estonia,אסטוניה,,,17,15,2,0,countries;country;place;province,2,עסטאָניע;עסטלאַנד,org;person,wikidata;kima
Q1915040,McConnell's Mill Covered Bridge,,"covered bridge, wooden bridge, road bridge",other,,,,,,2,2,0,2,place,1,ריישער געטאָ,person,wikidata
