source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
מעזשירעוו	Medzhybizh	Q1022485	17325	Medz︠h︡ybiz︠h︡ (Ukraine)	מז'יבוז' (אוקראינה)	WIKIDATA	1-facs_287_tr_1741260241	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סעקורען	Sokyriany	Q149173	16480	Sokyri︠a︡ny (Ukraine)	סקורן (אוקראינה)	NAME_EXACT	1-facs_299_tr_1741260438	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קיטערשיקע	Kuty	Q1794734	86223	Kuty (Ivano-Frankivsʹka oblastʹ, Ukraine)	קוטי (מחוז איוונו-פרנקיבסק, אוקראינה)	WIKIDATA	1-facs_304_tr_1741260480	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
יאָלטושקאָוו	Yaltushkiv	Q3624222	70886	Yaltushkiv (Ukraine)	ילטושקיב (אוקראינה)	WIKIDATA	1-facs_304_tr_1741260497	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
טשאָרטקאָוו	Chortkiv	Q148473	18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)	WIKIDATA	1-facs_306_r_6|1-facs_310_tr_1741260419	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
בענדער	Bender	Q192176	622	Bender (Moldova)	בנדרי (מולדובה)	WIKIDATA	1-facs_308_tr_1741260512|6-facs_196_tr_1747825036	birth	no	Zylbercweig lexicon (Maaty reconciliation)
אָטיניע	Ottynia	Q641272	19929	Otynii︠a︡ (Ukraine)	אוטיניה (אוקראינה)	WIKIDATA	1-facs_336_tr_1741260422	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
וואָלאָטשיסק	Volochysk	Q219762	87880	Volochysʹk (Ukraine)	וולוצ'יסק (אוקראינה)	WIKIDATA	1-facs_348_tr_1741260382	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
גאָלדינגען	Kuldīga	Q155281	14895	Kuldīga (Latvia)	קולדיגה (לטביה)	WIKIDATA	1-facs_361_TextRegion_1710853887337_347|3-facs_278_tr_1755674209|3-facs_336_tr_1756105932|5-facs_372_tr_1739222357	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ביעלאַ-צערקאָוו	Bila Tserkva	Q33342	350	Bila T︠S︡erkva (Ukraine)	בילה צרקווה (אוקראינה)	WIKIDATA	1-facs_363_r_9	death	yes	Zylbercweig lexicon (Maaty reconciliation)
