verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
NO_WD_PLACE	2	בודאַפעסט	Q1781	Budapest (Hungary)		
NO_WD_PLACE	2	בופֿאָלאָ	Q40435	Buffalo (N.Y.)		
NO_WD_PLACE	2	קוטנע	Q202160	Kutno (Poland)		
NO_WD_PLACE	2	זשענעווע	Q71	Geneva (Switzerland)		
NO_WD_PLACE	2	האַמעל	Q2678	Homelʹ (Belarus)		
NO_WD_PLACE	2	דרעזדען	Q1731	Dresden (Germany)		
NO_WD_PLACE	2	סטאַניסלאַוואָוו	Q156726	Stanislav (Ukraine)		
NO_WD_PLACE	2	מאַקאַראָוו	Q2641614	Makariv (Ukraine)		
NO_WD_PLACE	2	פּעטראָגראַד	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	2	אָדעסע	Q1874	Odesa (Ukraine)		
NO_WD_PLACE	2	האַרלעם	Q41183	Aleppo (Syria)		
NO_WD_PLACE	2	איזמאַאיל	Q147739	Izmaïl (Ukraine)		
NO_WD_PLACE	2	"ב""א"	Q1486	Buenos Aires (Argentina)		
NO_WD_PLACE	2	קאָלאָמעאַ	Q52193	Kolomyi︠a︡ (Ukraine)		
NO_WD_PLACE	2	לייפּציק	Q2079	Leipzig (Germany)		
NO_WD_PLACE	1	קרית שאַול	Q2897810	Kiryat Shaul (Ramat Hasharon, Israel)		
NO_WD_PLACE	1	ראָטשעסטער	Q49218	Rochester (N.Y.)		
NO_WD_PLACE	1	אליקא	Q1050383	Olyka (Ukraine)		
NO_WD_PLACE	1	רעוועל	Q1770	Tallinn (Estonia)		
NO_WD_PLACE	1	סאַן פּאָולאָ	Q174	São Paulo (Brazil)		
NO_WD_PLACE	1	באָלטאָ	Q805554	Balta (Ukraine)		
NO_WD_PLACE	1	מאַרבורג	Q3869	Marburg (Germany)		
NO_WD_PLACE	1	בראָנזווייל	Q991279	Brownsville (New York, N.Y.)		
NO_WD_PLACE	1	הר הכרמל	Q185318	Karmel, Mount (Israel)		
NO_WD_PLACE	1	ווילקאָווישקי	Q852272	Vilkaviškis (Lithuania)		
NO_WD_PLACE	1	ניו הייווען	Q49145	New Haven (Conn.)		
NO_WD_PLACE	1	קאַנקאָרדיאָ	Q52578	Concordia (Argentina)		
NO_WD_PLACE	1	קארלסבאַד	Q384544	Karlovy Vary (Czech Republic)		
NO_WD_PLACE	1	פּאַביאַניץ	Q158589	Pabianice (Poland)		
NO_WD_PLACE	1	פעלדאַפינג	Q507424	Feldafing (Germany)		
NO_WD_PLACE	1	האָוואַנאַ	Q1563	Havana (Cuba)		
NO_WD_PLACE	1	קייפּטאָן	Q5465	Cape Town (South Africa)		
NO_WD_PLACE	1	נויאָרק	Q60	New York (N.Y.)		
NO_WD_PLACE	1	בראַנזווייל	Q991279	Brownsville (New York, N.Y.)		
NO_WD_PLACE	1	ווראַצלאָוו	Q1799	Wrocław (Poland)		
NO_WD_PLACE	1	וולאָצלאַוועק	Q106681	Włocławek (Poland)		
NO_WD_PLACE	1	בערלאָד	Q335868	Bîrlad (Romania)		
NO_WD_PLACE	1	פֿאָלטישען	Q303015	Fălticeni (Romania)		
NO_WD_PLACE	1	סאַן פאַולאָ	Q174	São Paulo (Brazil)		
NO_WD_PLACE	1	מיאמי ביטש	Q8652	Miami (Fla.)		
NO_WD_PLACE	1	קאָפּענהאַגען	Q1748	Copenhagen (Denmark)		
NO_WD_PLACE	1	קאלאמעא	Q52193	Kolomyi︠a︡ (Ukraine)		
NO_WD_PLACE	1	דראָהאָביטש	Q135446	Dorogobuzh (Russia)		
NO_WD_PLACE	1	מאַריאַמפּאָל	Q1351046	Marijampolė (Lithuania)		
NO_WD_PLACE	1	מאַריאָמפּאָל	Q1351046	Marijampolė (Lithuania)		
NO_WD_PLACE	1	בודאַפּעסט	Q1781	Budapest (Hungary)		
NO_WD_PLACE	1	רעזשיצע	Q180379	Rēzekne (Latvia)		
NO_WD_PLACE	1	קעשנעוו	Q21197	Chișinău (Moldova)		
